CustomerID,FirstName,LastName,Email,Phone,City,PostalCode,State,Country,Region
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
4,Bjarn,Hansen,bjorn.hansen@yahoo.no,+47 22 44 22 22,Oslo,171,Oslo,Norway,Europe
4,Bjarn,Hansen,bjorn.hansen@yahoo.no,+47 22 44 22 22,Oslo,171,Oslo,Norway,Europe
4,Bjarn,Hansen,bjorn.hansen@yahoo.no,+47 22 44 22 22,Oslo,171,Oslo,Norway,Europe
4,Bjarn,Hansen,bjorn.hansen@yahoo.no,+47 22 44 22 22,Oslo,171,Oslo,Norway,Europe
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,1000,Brussels,Belgium,Europe
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,1000,Brussels,Belgium,Europe
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,1000,Brussels,Belgium,Europe
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,1000,Brussels,Belgium,Europe
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,1000,Brussels,Belgium,Europe
8,Daan,Peeters,daan_peeters@apple.be,+32 02 219 03 03,Brussels,1000,Brussels,Belgium,Europe
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
14,Mark,Philips,mphilips12@shaw.ca,+1 (780) 434-4554,Edmonton,T6G 2C7,AB,Canada,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
23,John,Gordon,johngordon22@yahoo.com,+1 (617) 522-1333,Boston,2113,MA,USA,North  America
37,Fynn,Zimmermann,fzimmermann@yahoo.de,+49 069 40598889,Frankfurt,60316,Frankfurt,Germany,Europe
40,Dominique,Lefebvre,dominiquelefebvre@gmail.com,+33 01 47 42 71 71,Paris,75002,Paris,France,Europe
38,Niklas,Schroeder,nschroder@surfeu.de,+49 030 2141444,Berlin,10779,Brandenburg,Germany,Europe
38,Niklas,Schroeder,nschroder@surfeu.de,+49 030 2141444,Berlin,10779,Brandenburg,Germany,Europe
40,Dominique,Lefebvre,dominiquelefebvre@gmail.com,+33 01 47 42 71 71,Paris,75002,Paris,France,Europe
42,Wyatt,Girard,wyatt.girard@yahoo.fr,+33 05 56 96 96 96,Bordeaux,33000,Bordeaux,France,Europe
42,Wyatt,Girard,wyatt.girard@yahoo.fr,+33 05 56 96 96 96,Bordeaux,33000,Bordeaux,France,Europe
42,Wyatt,Girard,wyatt.girard@yahoo.fr,+33 05 56 96 96 96,Bordeaux,33000,Bordeaux,France,Europe
42,Wyatt,Girard,wyatt.girard@yahoo.fr,+33 05 56 96 96 96,Bordeaux,33000,Bordeaux,France,Europe
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Null,Dublin,Ireland,Europe
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Null,Dublin,Ireland,Europe
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Null,Dublin,Ireland,Europe
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Null,Dublin,Ireland,Europe
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Null,Dublin,Ireland,Europe
46,Hugh,O'Reilly,hughoreilly@apple.ie,+353 01 6792424,Dublin,Null,Dublin,Ireland,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
52,Emma,Jones,emma_jones@hotmail.com,+44 020 7707 0707,London,N1 5LH,London,United Kingdom,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
2,Leonie,Kahler,leonekohler@surfeu.de,+49 0711 2842222,Stuttgart,70174,Stuttgart,Germany,Europe
16,Frank,Harris,fharris@google.com,+1 (650) 253-0000,Mountain View,94043-1351,CA,USA,North  America
19,Tim,Goyer,tgoyer@apple.com,+1 (408) 996-1010,Cupertino,95014,CA,USA,North  America
17,Jack,Smith,jacksmith@microsoft.com,+1 (425) 882-8080,Redmond,98052-8300,WA,USA,North  America
17,Jack,Smith,jacksmith@microsoft.com,+1 (425) 882-8080,Redmond,98052-8300,WA,USA,North  America
19,Tim,Goyer,tgoyer@apple.com,+1 (408) 996-1010,Cupertino,95014,CA,USA,North  America
21,Kathy,Chase,kachase@hotmail.com,+1 (775) 223-7665,Reno,89503,NV,USA,North  America
21,Kathy,Chase,kachase@hotmail.com,+1 (775) 223-7665,Reno,89503,NV,USA,North  America
21,Kathy,Chase,kachase@hotmail.com,+1 (775) 223-7665,Reno,89503,NV,USA,North  America
21,Kathy,Chase,kachase@hotmail.com,+1 (775) 223-7665,Reno,89503,NV,USA,North  America
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,53703,WI,USA,North  America
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,53703,WI,USA,North  America
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,53703,WI,USA,North  America
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,53703,WI,USA,North  America
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,53703,WI,USA,North  America
25,Victor,Stevens,vstevens@yahoo.com,+1 (608) 257-0597,Madison,53703,WI,USA,North  America
